"""City"" is a required value. Please enter the city.","""Ciudad"" es un valor necesario. Por favor introduzca la ciudad."
"""Country"" is a required value. Please enter the country.","""País"" es un valor necesario. Por favor ingresar al país."
"""Email Address"" is a required value. Please enter the email address.","""Correo Electrónico"" es un valor necesario. Por favor, introduzca la dirección de correo electrónico."
"""Email Address"" is not a valid email address.","""Correo Electrónico"" no es una dirección válida de correo electrónico."
"""First Name"" is a required value. Please enter the first name.","""Nombre"" es un valor necesario. Por favor ingrese el nombre."
"""Last Name"" is a required value. Please enter the last name.","""Apellido"" es un valor necesario. Por favor, introduzca el apellido."
"""Nickname"" is a required value. Please enter the nickname.","""Apodo"" es un valor requerido. Por favor introduce el apodo."
"""Payment Method"" is a required value.","""Método De Pago"" es un valor necesario."
"""Rating"" is a required value. Please select rating.","""Calificación"" es un valor requerido. Por favor, seleccione calificación."
"""Review"" is a required value. Please enter review.","""Revisión"" es un valor requerido. Por favor introduce el revisión."
"""Shipping Method"" is a required value.","""Método de envío"" es un valor necesario."
"""State/Province"" is a required value. Please enter the state/province.","""Estado/Provincia"" es un valor necesario. Por favor introduce el estado/provincia."
"""Street Address"" is a required value. Please enter the street address.","""Dirección"" es un valor necesario. Por favor, introduzca la dirección de calle."
"""Telephone"" is a required value. Please enter the telephone.","""Teléfono"" es un valor necesario. Por favor introduce el teléfono."
"""Zip/Postal Code"" is a required value. Please enter the zip/postal code.","""Zip/Código Postal"" es un valor necesario. Por favor introduce el zip/código postal."
"%s offers excellent, comprehensive customer service every step of the way. Before you order, make real time inquiries through use of our live chat. Once you've made a purchase, our customer service representatives are always on-hand to answer questions through our live chat. Shop with confidence and save with %s!","% Ofrece un excelente servicio integral al cliente en cada paso del camino. Antes de la solicitud, hacer consultas en tiempo real a través del uso de nuestro chat en vivo. Una vez que hayas realizado una compra, nuestros representantes de servicio al cliente están siempre a mano para responder preguntas a través de nuestro chat en vivo. Compre con confianza y ahorra con %!"
"<a onclick=""history.go(-1); return false;"" href=""#"">Go back</a> to the previous page.","<a onclick=""history.go(-1); return false;"" href=""#"">Volver</a> a la página anterior."
A variety of expedited shipping methods mean there is a convenient delivery option for every budget.,Una variedad de métodos de envío acelerado significa que hay una opción de entrega conveniente para todos los presupuestos.
About Us,Quiénes Somos
Account Dashboard,Cuenta Dashboard
Account Information,Información De La Cuenta
Add New Address,Añadir Nueva Dirección
Add to Cart,Añadir A La Cesta
Add to Compare,Añadir para comparar
Add to Wishlist,Agregar a la lista
Additional Address,Dirección Adicional
Address Book,Libreta De Direcciones
All Products,Todos Los Productos
Apply Coupon,Aplicar Cupón
Are you sure you want to delete this address?,Está seguro que desea eliminar esta dirección?
Availability,Disponibilidad
Back,Espalda
Back to Main Product Info,Volver A La Información Del Producto Principal
Back to My Orders,Volver A Mi Órdenes
Bad,Malo
Bestsellers,Los Más Vendidos
Billing Address,Dirección De Facturación
Billing Information,Información De Facturación
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta en nuestra tienda, usted será capaz de moverse a través del proceso de compra más rápidamente, almacenar varias direcciones de envío, ver y rastrear sus pedidos en su cuenta y más."
Cancel,cancelar
Cancel Coupon,Cancelar Cupón
Cart Subtotal,Subtotal Del carrito
Categories,Categorías
Categories Sitemap,Categorías Mapa del Sitio
Category,Categoría
Change Billing Address,Cambiar La Dirección De Facturación
Change Password,Cambiar Contraseña
Change Shipping Address,Cambiar La Dirección De Envío
Checkout,Caja
Checkout Result,Resultado Checkout
City,Ciudad
Class,Clase
Clear All,Borrar Todo
Clear Shopping Cart,Compras Clear
"Click <a href=""%s"">here</a> to continue shopping.","Clic <a href=""%s"">here</a> para seguir comprando."
Color,Color
Company,Empresa
Company Info,Información De La Compañía
Confirm New Password,Confirmar Nueva Contraseña
Confirm Password,Confirme Su Contraseña
Contact Information,Información De Contacto
Contact Us,Contáctenos
Continue Shopping,Continuar Compras
Convenient & Friendly Customer Service,Conveniente y amistoso servicio al cliente
Country,País
Coupon (<span>%s</span>),Cupón (<span>%s</span>)
"Coupon code ""%s"" is not valid.","Código de descuento ""%s"" no es válido."
"Coupon code ""%s"" was applied.","Código de descuento ""%s"" se aplicó."
Coupon code was canceled.,Código de descuento fue cancelado.
Coupon Codes,Los Códigos De Cupones
Create Account,Crear Una Cuenta
Create an Account,Crear Una Cuenta
Create New Customer Account,Crear Nueva Cuenta De Cliente
Current Password,Contraseña Actual
Currently Shopping by,Actualmente De Compras Por
Customer Login,Acceso Clientes
Customer Reviews,Opiniones De Los Usuarios
Customer Service,Servicio Al Cliente
Date,Fecha
Date Added: New to Old,Fecha Alta: Lo Más Nuevo
Date Added: Old to New,Fecha Alta: Viejo A Nuevo
Default,Defecto
Default Addresses,Direcciones Por Defecto
Default Billing Address,Por Defecto La Dirección De Facturación
Default Shipping Address,Por Defecto La Dirección De Envío
Delete Address,Eliminar Dirección
Delivery,entrega
Description,Descripción
Details,Detalles
Discount,Descuento
