"""City"" is a required value. Please enter the city.",Vennligst tast inn By ditt
"""Country"" is a required value. Please enter the country.",Vennligst tast inn Land ditt
"""Email Address"" is a required value. Please enter the email address.",Vennligst tast inn en e-post adresse
"""Email Address"" is not a valid email address.","""E-postadresse"" er ikke gyldig e-postadresse."
"""First Name"" is a required value. Please enter the first name.",Vennligst tast inn fornavn ditt
"""Last Name"" is a required value. Please enter the last name.",Vennligst tast inn etternavn ditt
"""Nickname"" is a required value. Please enter the nickname.",Vennligst tast inn navn ditt
"""Payment Method"" is a required value.",Vennligst tast inn Betalingsmetoder
"""Rating"" is a required value. Please select rating.",Vennligst tast inn Kundevurdering
"""Review"" is a required value. Please enter review.",Vennligst tast inn Anmeldelse ditt
"""Shipping Method"" is a required value.",Vennligst tast inn Leveringsmåter
"""State/Province"" is a required value. Please enter the state/province.",Vennligst tast inn Stat / Provins 
"""Street Address"" is a required value. Please enter the street address.",Vennligst tast inn Adresse ditt
"""Telephone"" is a required value. Please enter the telephone.",Vennligst tast inn Telefonnummer ditt
"""Zip/Postal Code"" is a required value. Please enter the zip/postal code.",Vennligst tast inn Postnummer ditt
"%s offers excellent, comprehensive customer service every step of the way. Before you order, make real time inquiries through use of our live chat. Once you've made a purchase, our customer service representatives are always on-hand to answer questions through our live chat. Shop with confidence and save with %s!","%s tilbyr utmerket, omfattende kundeservice hvert steg på veien. Før du bestiller, gjør sanntid henvendelser gjennom bruk av vår live chat. Når du har gjort et kjøp, våre kundebehandlere er alltid tilgjengelig for å svare på spørsmål via vår live chat. Handle trygt og lagre med nikenike tilbyr utmerket, omfattende kundeservice hvert steg på veien. Før du bestiller, gjør sanntid henvendelser gjennom bruk av vår live chat. Når du har gjort et kjøp, våre kundebehandlere er alltid tilgjengelig for å svare på spørsmål via vår live chat. Handle trygt og lagre med %s!"
"<a onclick=""history.go(-1); return false;"" href=""#"">Go back</a> to the previous page.","<a onclick=""history.go(-1); return false;"" href=""#"">Gå tilbake</a> til forrige side."
A variety of expedited shipping methods mean there is a convenient delivery option for every budget.,En rekke fremskyndet forsendelsesmetoder mener det er en praktisk levering alternativ for ethvert budsjett.
About Us,Om oss
Account Dashboard,Kontooversikt
Account Information,Kontoinformasjon
Add New Address,Legg til ny adresse
Add to Cart,Legg i handlekurven
Add to Compare,Legg til sammenligning 
Add to Wishlist,Legg til ønskeliste
Additional Address,Ekstra adresseopplysninger
Address Book,Adresse Bok
All Products,Alle produkter
Apply Coupon,Løs inn kupong
Are you sure you want to delete this address?,Vil du virkelig slette adressen?
Availability,Lagerstatus
Back,Tilbake
Back to Main Product Info,Tilbake til Produktinformasjon
Back to My Orders,Tilbake til Min Bestillings
