"""City"" is a required value. Please enter the city.",“都市”は必須です、都市を選択してください。,,,,
"""Country"" is a required value. Please enter the country.",“国名”は必須です、国名を選択してください,,,,
"""Email Address"" is a required value. Please enter the email address.",“Eメールアドレス”は必須です、Eメールアドレスを選択してください,,,,
"""Email Address"" is not a valid email address.",“Eメールアドレス”は有効なメールアドレスではありません。,,,,
"""First Name"" is a required value. Please enter the first name.",“名”は必須です、名を選択してください。,,,,
"""Last Name"" is a required value. Please enter the last name.",“姓”は必須です、姓を選択してください。,,,,
"""Nickname"" is a required value. Please enter the nickname.",“ニックネーム”は必須です、ニックネームを選択してください。,,,,
"""Payment Method"" is a required value.",“支払方法”は必須です。,,,,
"""Rating"" is a required value. Please select rating.",“グレード”は必須です、グレードを選択してください。,,,,
"""Review"" is a required value. Please enter review.",“レビュー”は必須です、レビューを選択してください。,,,,
"""Shipping Method"" is a required value.",“配送方法”は必須です。,,,,
"""State/Province"" is a required value. Please enter the state/province.",“都道府県”は必須です、都道府県を選択してください。,,,,
"""Street Address"" is a required value. Please enter the street address.",“市町村区”は必須です、市町村区を選択してください。,,,,
"""Telephone"" is a required value. Please enter the telephone.",“電話番号”は必須です、電話番号を選択してください。,,,,
"""Zip/Postal Code"" is a required value. Please enter the zip/postal code.",“郵便番号は必須です、郵便番号を選択してください。,,,,
%s offers excellent, comprehensive customer service every step of the way. Before you order, make real time inquiries through use of our live chat. Once you've made a purchase, our customer service representatives are always on-hand to answer questions through our live chat. Shop with confidence and save with %s!,%sは優れた、包括的な顧客サービスの方法のあらゆるステップを提供しています。ご注文の前に、私たちのライブチャットを使用することによりリアルタイムで照会を行う。一度購入を行った、私たちの顧客サービス担当者は、私たちのライブチャットを通じて質問に答える手に常にある。安心してお買い物して%sで保存！,
"<a onclick=""history.go(-1); return false;"" href=""#"">Go back</a> to the previous page.","<a onclick=""history.go(-1); return false;"" href=""#"">戻る</a> 前のページに。",,,,
A variety of expedited shipping methods mean there is a convenient delivery option for every budget.,配送方法の様々な、あらゆる予算のための便利な配信オプションがあることを意味します。,,,,
About Us,会社の概要,,,,
Account Dashboard,アカウントのダッシュボード,,,,
Account Information,アカウント情報,,,,
Add New Address,新しい住所を追加,,,,
Add to Cart,カートに入れる,,,,
Add to Compare,比較対象に追加,,,,
Add to Wishlist,ウィッシュリストに追加,,,,
Additional Address,追加のアドレス,,,,
Address Book,ご住所,,,,
All Products,すべての製品,,,,
Apply Coupon,クーポンを適用,,,,
Are you sure you want to delete this address?,このアドレスを削除してもよろしいですか？,,,,
Availability,可用性,,,,
Back,戻る,,,,
Back to Main Product Info,商品メイン情報に戻る,,,,
Back to My Orders,注文に戻る,,,,
Bad,悪い,,,,
Bestsellers,ベストセラー,,,,
Billing Address,請求先住所,,,,
Billing Information,課金情報,,,,
By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.,私達の店のアカウントを作成し、より速く注文処理ができるようになる、複数の配送先住所を格納し、表示およびあなたの順序を追跡し、より多くの機能。,
Cancel,キャンセル,,,,
Cancel Coupon,クーポンをキャンセル,,,,
Cart Subtotal,小計カート,,,,
Categories,カテゴリ,,,,
Categories Sitemap,カテゴリサイトマップ,,,,
Category,カテゴリ,,,,
Change Billing Address,請求先住所を変更する,,,,
Change Password,パスワードを変更する,,,,
Change Shipping Address,配送先住所を変更する,,,,
Checkout,チェックアウト,,,,
Checkout Result,決算の結果,,,,
City,都市,,,,
Class,クラス,,,,
Clear All,すべてをクリア,,,,
Clear Shopping Cart,明確なショッピングカート,,,,
"Click <a href=""%s"">here</a> to continue shopping.","クリック <a href=""%s"">ここで</a> 買い物を続けてください。",,,,
Color,カラー,,,,
Company,会社,,,,
Company Info,会社情報,,,,
Confirm New Password,新しいパスワード,,,,
Confirm Password,パスワードの確認,,,,
Contact Information,連絡先,,,,
Contact Us,お問い合わせ,,,,
Continue Shopping,買い物を続ける,,,,
Convenient & Friendly Customer Service,便利＆フレンドリーな顧客サービス,,,,
Country,国名,,,,
Coupon (<span>%s</span>),クーポン,,,,
"Coupon code ""%s"" is not valid.","無効なクーポンコード""%s""です。",,,,
"Coupon code ""%s"" was applied.","クーポンコード""%s""は適用された。",,,,
Coupon code was canceled.,このクーポンは有効期限が切れています。,,,,
Coupon Codes,クーポンコード,,,,
Create Account,アカウント作成,,,,
Create an Account,アカウントを作成する,,,,
Create New Customer Account,新規顧客アカウントを作成する,,,,
Current Password,現在のパスワード,,,,
Currently Shopping by,現在ショッピングによって,,,,
Customer Login,お客様ログイン,,,,
Customer Reviews,カスタマーレビュー,,,,
Customer Service,顧客サービス,,,,
Date,日付,,,,
Date Added: New to Old,追加された日付: オールドから新しいまで,,,,
Date Added: Old to New,追加された日付: 新しいからオールドまで,,,,
Default,デフォルト,,,,
Default Addresses,デフォルトアドレス,,,,
Default Billing Address,デフォルトの請求先住所,,,,
Default Shipping Address,デフォルトの配送先住所,,,,
Delete Address,アドレスを削除,,,,
Delivery,配信,,,,
Description,説明,,,,
Details,細部,,,,
Discount,割引,,,,
Easy & Safe Online Shopping,安全＆簡単にオンラインショッピング,,,,
Edit,編集,,,,
Edit Address,アドレスの編集,,,,
Email Address,Eメールアドレス,,,,
Enter your coupon code if you have one.,あなたはクーポンコードをお持ちの場合は、入力してください。,,,,
Every %s product undergoes an extensive testing and quality control procedure, ensuring each and every item purchased meets global quality standards. %s offers only the highest quality products, allowing customers to shop with confidence.,すべての%s製品はそれぞれ、購入のすべての項目はグローバルな品質基準を満たしているを確保、広範なテストと品質管理手順を経る。%sは、お客様が安心して買い物できるように、唯一の最高品質の製品を提供しています。,,
Failure,失敗,,,,
Faq,よくある質問,,,,
Fast Delivery Around The Globe,世界中の速い配達,,,,
Fax,ファックス,,,,
Featured,おすすめ,,,,
Finish,終える,,,,
First Name,名,,,,
Follow these links to get you back on track!,あなたを再び軌道に乗るために、これらのリンクに従ってください！,,,,
Forgot Your Password?,パスワードをお忘れですか？,,,,
From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.,あなたのマイアカウントのダッシュボードから、最近の活動のスナップショットを見える、アカウント情報を更新する、さらには情報を表示または編集するには、以下のリンクを選択します。,,,,
Gender,ジェンダー,,,,
General Subscription,一般的なサブスクリプション,,,,
Good,良い,,,,
Gorgeous,ごうか,,,,
Grand Total,総計,,,,
Grid,グリッド,,,,
Have no fear, help is near! There are many ways you can get back on track with Our Store.,恐れを知らない、助けが近いです！あなたが私達の店で軌道に乗る背中ができる多くの方法があります。,,,
Hello, %s!,もしもし, %s!,,
High Quality With Global Standards,グローバルスタンダードで高品質,,,,
Home,ホーム,,,,
If you clicked on a link to get here, the link is outdated.,ここに来るためにリンクをクリックした場合は、リンクが古くなっています。,,,
If you have an account with us, please log in.,登録済みのお客様、アカウントにログインしてください。,,,
If you typed the URL directly, please make sure the spelling is correct.,あなたがURLを直接入力した場合は、スペルが正しいことを確かめなさい。,,,
In stock,在庫,,,,
Information,情報,,,,
Invalid login or password.,無効なログインまたはパスワード。,,,,
Item(s),点数,,,,
Items <span>%s</span> to <span>%s</span> of <span>%s</span> total,から%sまで%s点数 合計%s,,,,
JavaScript seem to be disabled in your browser.,現在のブラウザはJava Scriptが無効になっています。,,,,
Last Name,姓,,,,
List,リスト,,,,
Log In,ログイン,,,,
Log Out,ログアウト,,,,
Login,ログイン,,,,
Login or Create an Account,ログインするか、アカウントを作成してください,,,,
Manage Addresses,アドレスを管理,,,,
Material,材料,,,,
More Views,詳細,,,,
My Account,マイページ,,,,
My Cart,カート,,,,
My Cart (<span>%s</span> Items),カート(<span>%s</span>いくら商品),,,,
My Dashboard,マイダッシュボード,,,,
My Orders,ご注文,,,,
My Product Reviews,私の商品レビュー,,,,
My Recent Reviews,私の最近のレビュー,,,,
Name,名前,,,,
Name: A to Z,名前：AからZまで,,,,
Name: Z to A,名前：ZからAまで,,,,
New Address,新しい住所,,,,
New Arrivals,新着商品,,,,
New Customers,新規のお客様,,,,
New Password,新しいパスワード,,,,
New Products,新着商品,,,,
News,ニュース,,,,
Newsletter Subscriptions,ニュースレターを購読する,,,,
Newsletters,ショートメッセージサービス,,,,
Next,次に,,,,
Nickname,ニックネーム,,,,
Not Available At This Time,この時には使用できません,,,,
Num,ヌム,,,,
Order #,オーダー　#,,,,
Order #%s - %s,オーダー　#%s - %s,,,,
Order Date,発注日,,,,
Order Information,注文情報,,,,
Order Items,注文商品,,,,
