"""City"" is a required value. Please enter the city.","""Ville"" est une valeur requise. S'il vous plaît entrer le ville."
"""Country"" is a required value. Please enter the country.","""Pays"" est une valeur requise. S'il vous plaît entrer le pays."
"""Email Address"" is a required value. Please enter the email address.","""Adresse Email"" est une valeur requise. S'il vous plaît entrer le adresse email."
"""Email Address"" is not a valid email address.","""Adresse Email"" n'est pas une adresse de courriel valide."
"""First Name"" is a required value. Please enter the first name.","""Prénom"" est une valeur requise. S'il vous plaît entrez le prénom."
"""Last Name"" is a required value. Please enter the last name.","""Nom de famille"" est une valeur requise. S'il vous plaît entrer le nom de famille."
"""Nickname"" is a required value. Please enter the nickname.","""Surnom"" est une valeur requise. S'il vous plaît entrer le surnom."
"""Payment Method"" is a required value.","""Moyens de paiement"" est une valeur requise."
"""Rating"" is a required value. Please select rating.","""Classement"" est une valeur requise. S'il vous plaît choisir classement."
"""Review"" is a required value. Please enter review.","""Revoir"" est une valeur requise. S'il vous plaît entrer le revoir."
"""Shipping Method"" is a required value.","""Méthode d'expédition"" est une valeur requise."
"""State/Province"" is a required value. Please enter the state/province.","""Etat/Province"" est une valeur obligatoire. S'il vous plaît entrer dans l'état/province."
"""Street Address"" is a required value. Please enter the street address.","""Rue Adresse"" est une valeur requise. S'il vous plaît entrez l'adresse de la rue."
"""Telephone"" is a required value. Please enter the telephone.","""Téléphone"" est une valeur requise. S'il vous plaît entrer dans le téléphone."
"""Zip/Postal Code"" is a required value. Please enter the zip/postal code.","""Zip/Code Postal"" est une valeur requise. S'il vous plaît entrez le zip/code postal."
"%s offers excellent, comprehensive customer service every step of the way. Before you order, make real time inquiries through use of our live chat. Once you've made a purchase, our customer service representatives are always on-hand to answer questions through our live chat. Shop with confidence and save with %s!","%s service client complet offre un excellent moyen de chaque étape. Avant d'effectuer des requêtes en temps réel, en utilisant notre chat en direct. Une fois que vous avez acheté un produit, nos représentants du service à la clientèle prête à répondre à vos questions via notre chat live. Achetez avec confiance et sauver %s!"
"<a onclick=""history.go(-1); return false;"" href=""#"">Go back</a> to the previous page.","<a onclick=""history.go(-1); return false;"" href=""#"">Retour</a> à la page précédente."
A variety of expedited shipping methods mean there is a convenient delivery option for every budget.,GlobeUne variété de méthodes d'expédition accélérée signifie qu'il y a une option de livraison pratique pour tous les budgets.
About Us,À propos de nous
Account Dashboard,Tableau de bord du compte
Account Information,Informations sur le compte
Add New Address,Ajouter une nouvelle adresse
Add to Cart,Ajouter au panier
Add to Compare,Ajouter au comparateur
Add to Wishlist,Ajouter à mes préférés
Additional Address,Adresse complémentaires
Address Book,Carnet D'adresses
All Products,Tous Les Produits
Apply Coupon,Valider bon
Are you sure you want to delete this address?,Voulez-vous vraiment supprimer l’adresse?
Availability,Disponibilité
Back,Retour
Back to Main Product Info,Volver A La Información Del Producto Principal
Back to My Orders,Retour vers Mes commandes
Bad,Malo
Bestsellers,Les meilleures ventes
Billing Address,Adresse de facturation
Billing Information,Informations de facturation
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","En créant un compte sur notre boutique, vous pourrez passer à travers le processus d'achat rapide, stocker plusieurs adresses de livraison, consulter et suivre vos commandes dans votre compte et plus encore."
Cancel,résilier
Cancel Coupon,Annuler Coupon
Cart Subtotal,Panier Total Partiel
Categories,Catégories
Categories Sitemap,Catégories Plan Du Site
Category,Catégorie
Change Billing Address,Changer l'adresse de facturation
Change Password,Changer mot de passe
Change Shipping Address,Changer l'adresse de livraison
Checkout,Commander
Checkout Result,Résultat Commander
City,Ville
Class,Clase
Clear All,Borrar Todo
Clear Shopping Cart,Panier Clair
"Click <a href=""%s"">here</a> to continue shopping.","Cliquez <a href=""%s"">ici</a> pour continuer vos achats."
Color,Couleur
Company,L'entreprise
Company Info,SUR LA SOCIÉTÉ
Confirm New Password,Confirmez ce mot de passe
Confirm Password,Confirmez ce mot de passe
Contact Information,Données personnelles
Contact Us,Contactez-nous
