"""City"" is a required value. Please enter the city.",Postort är ett obligatoriskt fält.  Var god ange din Postort.
"""Country"" is a required value. Please enter the country.",Land är ett obligatoriskt fält. Var god ange din Land.
"""Email Address"" is a required value. Please enter the email address.",E-postadress är ett obligatoriskt fält. Var god ange din E-postadress.
"""Email Address"" is not a valid email address.",Vänligen ange en giltig e-postadress.
"""First Name"" is a required value. Please enter the first name.",Förnamn är ett obligatoriskt fält. Var god ange ditt Förnamn.
"""Last Name"" is a required value. Please enter the last name.",Efternamn är ett obligatoriskt fält. Var god ange din Efternamn.
"""Nickname"" is a required value. Please enter the nickname.",användarnamn är ett obligatoriskt fält. Var god ange din användarnamn.
"""Payment Method"" is a required value.",Betalningsmetod är ett obligatoriskt fält.
"""Rating"" is a required value. Please select rating.",Betyg är ett obligatoriskt fält. Var god ange din Betyg.
"""Review"" is a required value. Please enter review.",Recension är ett obligatoriskt fält. Var god ange din Recension.
"""Shipping Method"" is a required value.",Leveransmetod är ett obligatoriskt fält.
"""State/Province"" is a required value. Please enter the state/province.",Stat / Provins är ett obligatoriskt fält. Var god ange din Stat / Provins.
"""Street Address"" is a required value. Please enter the street address.",Gatuadress är ett obligatoriskt fält. Var god ange din Gatuadress.
"""Telephone"" is a required value. Please enter the telephone.",Telefon är ett obligatoriskt fält. Var god ange din Telefon.
"""Zip/Postal Code"" is a required value. Please enter the zip/postal code.",ZIP/Postnummer är ett obligatoriskt fält. Var god ange din ZIP/Postnummer.
"%s offers excellent, comprehensive customer service every step of the way. Before you order, make real time inquiries through use of our live chat. Once you've made a purchase, our customer service representatives are always on-hand to answer questions through our live chat. Shop with confidence and save with %s!",%s erbjuder fantastisk och omfattande kundservice genom hela köpprocessen. Innan du beställer kan du ställa frågor i vår live chat och få svar i realtid. Efter att du slutfört ditt köp finns våra kundservicerepresentanter alltid till hands för att svara på dina frågor genom det lättanvända Kundärende-systemet på vår webbsida. Handla utan bekymmer och spara pengar med %s!
"<a onclick=""history.go(-1); return false;"" href=""#"">Go back</a> to the previous page.","<a onclick=""history.go(-1); return false;"" href=""#"">Gå tillbaka</a> till föregående sida."
A variety of expedited shipping methods mean there is a convenient delivery option for every budget.,En mängd expedierade leveransmetoder innebär att det är ett bekvämt leveransalternativ för varje budget.
About Us,Om oss
Account Dashboard,Mitt Konto
Account Information,kontoinformation
Add New Address,Lägg till ny adress
Add to Cart,Lägg till i  Varukorg
Add to Compare,Lägg till Jämför
Add to Wishlist,Lägg till önskelista
Additional Address,Ytterligare adress
Address Book,Adressbok
All Products,Alla Produkt
Apply Coupon,Lös in Kuponger
Are you sure you want to delete this address?,Är du säker på att du vill ta bort den här adressen?
Availability,Tillgänglighet
Back,Tillbaka
Back to Main Product Info,Tillbaka till produktsidan
Back to My Orders,Tillbaka till Mina Orders
Bad,Dålig
Bestsellers,Bästsäljare
Billing Address,Fakturaadress
Billing Information,Fakturainformation
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Genom att skapa ett konto med vårt lager, kommer du att kunna gå igenom betalningsprocessen snabbare, lagra flera leveransadresser, granska och spåra dina beställningar på ditt konto och mer."
Cancel,Avbryt
Cancel Coupon,Avbryt Kuponger
Cart Subtotal,Totalsumma
Categories,Kategorier
Categories Sitemap,Kategorier Sidkarta
Category,Kategori
Change Billing Address,Ändra Fakturaadress
Change Password,Ändra lösenord
Change Shipping Address,Ändra leveransadress
Checkout,kassan
Checkout Result,kassan Resultat
City,Postort
Class,Kategori
Clear All,Rensa alla
Clear Shopping Cart,Töm kundvagn
"Click <a href=""%s"">here</a> to continue shopping.","<a href=""%s"">Klicka här</a> för Fortsätt shoppa"
Color,Färg
Company,Företag
Company Info,Företagsinformation
Confirm New Password,Bekräfta Nytt lösenord
Confirm Password,Bekräfta lösenord 
Contact Information,Kundtjänst
Contact Us,Kontakta Oss
Continue Shopping,Fortsätt handla
Convenient & Friendly Customer Service,Bekväm och vänlig Kundservice
Country,Land
Coupon (<span>%s</span>),Kuponger (<span>%s</span>)
"Coupon code ""%s"" is not valid.","Kupongkod ""%s"" är inte giltig."
"Coupon code ""%s"" was applied.","Kupongkod ""%s"" tillämpades."
Coupon code was canceled.,Kupongkod avbröts.
Coupon Codes,kupongkoder
Create Account,skapar konto
Create an Account,skapar konto
Create New Customer Account,skapar nytt konto
Current Password,Befintligt lösenord
Currently Shopping by,Handlar för närvarande utifrån
Customer Login,Kundinloggning
Customer Reviews,kundrecensioner
Customer Service,Kundservice
Date,Datum
Date Added: New to Old,Inkom datum: Nytt till gammalt
Date Added: Old to New,Inkom datum: gammalt till Nytt
Default,Förvalt
Default Addresses,Förvalt adress
Default Billing Address,Förvalt Fakturaadress
Default Shipping Address,Förvalt leveransadress
Delete Address,Ta bort adress
Delivery,leverans
Description,beskrivning
Details,Detaljer
Discount,rabatt
Easy & Safe Online Shopping,Enkel & säker online shopping
Edit,Ändra
Edit Address,Ändra adress
Email Address,E-postadress
Enter your coupon code if you have one.,Har du en kupongkod? Lös in den här
"Every %s product undergoes an extensive testing and quality control procedure, ensuring each and every item purchased meets global quality standards. %s offers only the highest quality products, allowing customers to shop with confidence.","Alla produkter på %s genomgår omfattande tester och kvalitetskontroller för att försäkra att varje vara som köps möter globala kvalitetstandarder. LightInTheBox.com erbjuder endast de mest högkvalitativa produkterna, så att kunderna kan känna sig säkra när de shoppar. "
Failure,misslyckande
Faq,Frågor & Svar
Fast Delivery Around The Globe,Snabb leverans - jorden runt
Fax,Fax
Featured,Utvalda
Finish,Mål
First Name,Förnamn
Follow these links to get you back on track!,Följ dessa länkar för att få dig tillbaka på rätt spår!
Forgot Your Password?,Glömt ditt lösenord? 
From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.,Från din Mitt konto Dashboard har du möjlighet att visa en ögonblicksbild av dina senaste kontoaktivitet och uppdatera din kontoinformation. Välj en länk nedan för att visa eller redigera information.
Gender,Kön
General Subscription,Allmänt Prenumerations
Good,Bra
Gorgeous,Jättebra
Grand Total,Totalt
Grid,Galleri
"Have no fear, help is near! There are many ways you can get back on track with Our Store.","Var inte rädd, hjälpen är nära! Det finns många sätt du kan få tillbaka på rätt spår med vårt lager."
"Hello, %s!","Hallå, %s!"
High Quality With Global Standards,Hög kvalitet med global standard
Home,Hem
"If you clicked on a link to get here, the link is outdated.","Om du klickade på en länk för att komma hit, är länken föråldrad."
"If you have an account with us, please log in.","Om du har ett konto hos oss, vänligen logga in"
"If you typed the URL directly, please make sure the spelling is correct.","Om du skriver in webbadressen direkt, se till att stavningen är korrekt."
In stock,I lager
Information,Information
Invalid login or password.,Inloggning misslyckades
Item(s),artikla(r)
Items <span>%s</span> to <span>%s</span> of <span>%s</span> total,artiklar <span>%s</span> till <span>%s</span> av <span>%s</span> Totalt
JavaScript seem to be disabled in your browser.,JavaScript verkar vara inaktiverat i din webbläsare.
Last Name,Efternamn
List,Lista
Log In,Logga in
Log Out,Logga ut
Login,Logga in
