"""City"" is a required value. Please enter the city.","""Città"" è un campo obbligatorio. Inserisci un città valido.",,
"""Country"" is a required value. Please enter the country.","""Paese"" è un campo obbligatorio. Inserisci un paese valido.",,
"""Email Address"" is a required value. Please enter the email address.","""Indirizzo e-mail"" è un campo obbligatorio. Inserisci un indirizzo e-mail valido.",,
"""Email Address"" is not a valid email address.",Inserisci un indirizzo mail valido.,,
"""First Name"" is a required value. Please enter the first name.","""Nome"" è un campo obbligatorio. Inserisci un nome valido.",,
"""Last Name"" is a required value. Please enter the last name.","""Cognome"" è un campo obbligatorio. Inserisci un cognome valido.",,
"""Nickname"" is a required value. Please enter the nickname.","""Nickname"" è un campo obbligatorio. Inserisci un nickname valido.",,
"""Payment Method"" is a required value.","""Metodo Di Pagamento"" è un campo obbligatorio.",,
"""Rating"" is a required value. Please select rating.","""Valutazione"" è un valore richiesto. Seleziona valutazione.",,
"""Review"" is a required value. Please enter review.","""Rivedere"" è un valore richiesto. Inserisci il rivedere.",,
"""Shipping Method"" is a required value.","""Metodo Spedizione"" è un campo obbligatorio.",,
"""State/Province"" is a required value. Please enter the state/province.","""Stato/Provincia"" è un campo obbligatorio. Inserisci un Stato/Provincia valido.",,
"""Street Address"" is a required value. Please enter the street address.","""Indirizzo"" è un campo obbligatorio. Inserisci un Indirizzo valido.",,
"""Telephone"" is a required value. Please enter the telephone.","""Telefono"" è un campo obbligatorio. Inserisci un Telefono valido.",,
"""Zip/Postal Code"" is a required value. Please enter the zip/postal code.","""Codice postale"" è un campo obbligatorio. Inserisci un Codice postale valido.",,
"%s offers excellent, comprehensive customer service every step of the way. Before you order, make real time inquiries through use of our live chat. Once you've made a purchase, our customer service representatives are always on-hand to answer questions through our live chat. Shop with confidence and save with %s!","%s Offre un impeccabile servizio clienti completo ogni passo del cammino. Prima dell'ordine, di informarsi in tempo reale attraverso l'uso della nostra chat live. Una volta che hai fatto un acquisto, i nostri rappresentanti del servizio clienti sono sempre a disposizione per rispondere alle domande attraverso il nostro live chat. Negozio con fiducia e risparmia con %s!",,
"<a onclick=""history.go(-1); return false;"" href=""#"">Go back</a> to the previous page.","<a onclick=""history.go(-1); Return false;"" href=""#"">Tornare</a> alla pagina precedente.",,
A variety of expedited shipping methods mean there is a convenient delivery option for every budget.,Una varietà di metodi di spedizione accelerato significa che c'è una opzione di consegna conveniente per tutte le tasche.,,
About Us,Chi Siamo,,
Account Dashboard,Conto Dashboard,,
Account Information,Informazioni Account,,
Add New Address,Aggiungi Nuovo Indirizzo,,
Add to Cart,Aggiungi Al Carrello,,
Add to Compare,Aggiungi al Confronto,,
Add to Wishlist,Aggiungi alla Wishlist,,
Additional Address,Indirizzo Supplementare,,
Address Book,Rubrica,,
All Products,Tutte le prodotti,,
Apply Coupon,Applica sconto,,
Are you sure you want to delete this address?,Sei sicuro di voler cancellare questo indirizzo?,,
Availability,Disponibilità,,
Back,Indietro,,
Back to Main Product Info,Torna Alle Informazioni Principali Del Prodotto,,
Back to My Orders,Torna Alla Mia Ordini,,
Bad,Bad,,
Bestsellers,Bestseller,,
Billing Address,Indirizzo di fatturazione,,
Billing Information,Informazioni fatturazione,,
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Creando un account con il nostro negozio, sarete in grado di muoversi attraverso il processo di acquisto più velocemente, memorizzare indirizzi di consegna multipli, controllare e tenere traccia degli ordini nel tuo account e altro ancora.",,
Cancel,annullare,,
Cancel Coupon,Annulla Coupon,,
Cart Subtotal,Subtotale Carrello,,
Categories,Categorie,,
Categories Sitemap,Categorie Mappa Del Sito,,
Category,Categoria,,
Change Billing Address,Modifica Indirizzo Di Fatturazione,,
Change Password,Cambia Password,,
Change Shipping Address,Modifica Indirizzo Di Spedizione,,
Checkout,Cassa,,
Checkout Result,Acquista Risultato,,
City,Città,,
Class,Classe,,
Clear All,Cancella Tutto,,
Clear Shopping Cart,Carrello Cancella,,
"Click <a href=""%s"">here</a> to continue shopping.","Clicca <a href=""%s"">Qui</a> per continuare gli acquisti.",,
Color,Colore,,
Company,Azienda,,
Company Info,Informazioni Sulla Società,,
Confirm New Password,Conferma Nuova Password,,
Confirm Password,Conferma Password,,
