"""City"" is a required value. Please enter the city.","""Stadt"" ist ein Pflichtfeld. Bitte gib eine Stadt ein."
"""Country"" is a required value. Please enter the country.","""Staat"" ist ein Pflichtfeld. Bitte gib eine Staat ein."
"""Email Address"" is a required value. Please enter the email address.","""E-Mail Adresse"" ist ein Pflichtfeld. Bitte gib eine E-Mail-Adresse ein."
"""Email Address"" is not a valid email address.","""E-Mail Adresse"" ist ungültig"
"""First Name"" is a required value. Please enter the first name.","""Vorname"" ist ein Pflichtfeld. Bitte gib eine Vorname ein."
"""Last Name"" is a required value. Please enter the last name.","""Nachnamen"" ist ein Pflichtfeld. Bitte gib eine Nachnamen ein."
"""Nickname"" is a required value. Please enter the nickname.","""Nickname"" ist ein Pflichtfeld. Bitte gib eine Nickname ein."
"""Payment Method"" is a required value.","""Bezahlmethoden"" ist ein Pflichtfeld."
"""Rating"" is a required value. Please select rating.","""Wertung"" ist ein Pflichtfeld. Bitte gib eine Bewertung ein."
"""Review"" is a required value. Please enter review.","""Bewertung"" ist ein Pflichtfeld. Bitte gib eine Bewerten ein."
"""Shipping Method"" is a required value.","""Lieferungmethoden"" ist ein Pflichtfeld"
"""State/Province"" is a required value. Please enter the state/province.","""Staat/Provinz"" ist ein Pflichtfeld. Bitte gib eine Staat/Provinz ein."
"""Street Address"" is a required value. Please enter the street address.","""Straßeaderesse"" ist ein Pflichtfeld. Bitte gib eine Straße ein."
"""Telephone"" is a required value. Please enter the telephone.","""Telefon"" ist ein Pflichtfeld. Bitte gib eine Telefon ein."
"""Zip/Postal Code"" is a required value. Please enter the zip/postal code.","""Postleitzahl"" ist ein Pflichtfeld. Bitte gib eine Postleitzahl ein."
"%s offers excellent, comprehensive customer service every step of the way. Before you order, make real time inquiries through use of our live chat. Once you've made a purchase, our customer service representatives are always on-hand to answer questions through our live chat. Shop with confidence and save with %s!","%s bieten Ihnen eine hervorragende, umfassende Kundenbetreuung jeden Schritt Ihres Einkaufens. Bevor Sie bestellen, können sie Information erfassen durch unser Live-Chat. Sobald Sie einen Bestellung machen, unsere Kundendienstmitarbeiter sind immer  verfügbar um Ihre Fragen  bei den Live-Chat  zu beantworten. Genießen Sie ihre Einkaufen mit Vertrauen und Sparunf Sie auf %s!"
"<a onclick=""history.go(-1); return false;"" href=""#"">Go back</a> to the previous page.","<a onclick=""history.go(-1); return false;"" href=""#"">Zurückgehen</a> zur vorherigen Seite."
A variety of expedited shipping methods mean there is a convenient delivery option for every budget.,"Zahlreiche beschleunigten Lieferungs Methde bedeutet, es gibt eine bequeme Lieferung Wahl für jedes Bestellung."
About Us,Über Uns
Account Dashboard,Benutzerkonto Übersicht
Account Information,Benutzerkonto Informationen
Add New Address,Neue Adresse Hinzufügen
Add to Cart,In Den Einkaufswagen
Add to Compare,Auf die Vergleichtliste
Add to Wishlist,Auf den Wunschliste
Additional Address,Adresszusatz
Address Book,Adressbuch
All Products,Alle Produktionen
Apply Coupon,Bewerben Coupon
Are you sure you want to delete this address?,"Sind Sie sicher, dass Sie diese Adresse streichen?"
Availability,Verfügbarkeit
Back,zurück
Back to Main Product Info,Zurück Zur Startseite Produkt-information
Back to My Orders,Zurück zu meiner Bestellung
Bad,schlecht
Bestsellers,Beliebtesten
Billing Address,Rechnungsadresse
Billing Information,Billing Information
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Durch Ihre Anmeldung in unserem Shop, werden Sie in der Lage sein durch den Bestellvorgang geführt schneller zu bewegen, können mehrere Versandadressen speichern, anzeigen und verfolgen Sie Ihre Aufträge in Ihrem Konto und vieles mehr."
Cancel,stornieren
Cancel Coupon,Abbrechen Coupon
Cart Subtotal,Warenkorb Zwischensumme
Categories,Kategorien
Categories Sitemap,Kategorien Sitemap
Category,Kategorie
Change Billing Address,Rechnungsadresse ändern
Change Password,Passwort Ändern
Change Shipping Address,Ändern Versandadresse
Checkout,Kasse
Checkout Result,Kasse Ergebnis
City,Stadt
Class,Klasse
Clear All,Alles löschen
Clear Shopping Cart,Löschen Einkaufswagen
"Click <a href=""%s"">here</a> to continue shopping.","Klicken <a href=""%s"">hier</a> um den Einkauf fortzusetzen."
Color,Farbe
Company,Firma
Company Info,Firmeninfo
Confirm New Password,Neues Passwort bestätigen
Confirm Password,Passwort bestätigen
Contact Information,Kontaktinformationen
Contact Us,Kontaktieren Uns
Continue Shopping,Weiter Einkaufswagen
Convenient & Friendly Customer Service,Bequemer & freundlicher Kundenservice
Country,Land
Coupon (<span>%s</span>),Coupon (<span>%s</span>)
"Coupon code ""%s"" is not valid.","Gutscheincodes ""%s""  ist ungültig"
"Coupon code ""%s"" was applied.","Coupon-Code ""%s"" aufgebracht wurde."
Coupon code was canceled.,Coupon-Code wurde abgebrochen.
Coupon Codes,Gutscheincode
Create Account,Konto erstellen
Create an Account,Neukunde
Create New Customer Account,Kundenkonto anlegen
Current Password,Current Password
Currently Shopping by,Momentan Einkaufen Nach
Customer Login,Kunden-Login
Customer Reviews,Kundenrezensionen
Customer Service,Kundenservice
Date,Datum
Date Added: New to Old,Aufgenommen Am: Aufsteigend
Date Added: Old to New,Aufgenommen Am: Absteigend
Default,Default
Default Addresses,Default-Adressen
Default Billing Address,Standard Rechnungsadresse
Default Shipping Address,Standard Versandadresse
Delete Address,Adresse löschen
Delivery,Lieferung
Description,Beschreibung
Details,Einzelheiten
Discount,Rabatt
Easy & Safe Online Shopping,Einfache & sichere Einkaufen im Internet!
Edit,Bearbeiten
Edit Address,Adresse Bearbeiten
Email Address,E-Mail Adresse
Enter your coupon code if you have one.,Geben Sie Ihren Gutscheincode ein (sofern vorhanden).
