"""City"" is a required value. Please enter the city.",“城市”必填，请输入城市。
"""Country"" is a required value. Please enter the country.",“国家”必填，请输入国家。
"""Email Address"" is a required value. Please enter the email address.",“邮件地址”必填，请输入邮件地址。
"""Email Address"" is not a valid email address.",“邮件地址”是无效的。
"""First Name"" is a required value. Please enter the first name.",“名字”必填，请输入名字。
"""Last Name"" is a required value. Please enter the last name.",“姓氏”必填，请输入姓氏。
"""Nickname"" is a required value. Please enter the nickname.",“昵称”必填，请输入昵称。
"""Payment Method"" is a required value.",“付款方式”必填。
"""Rating"" is a required value. Please select rating.",“等级”必填，请输入等级。
"""Review"" is a required value. Please enter review.",“评论”必填，请输入评论。
"""Shipping Method"" is a required value.",“配送方式”必填。
"""State/Province"" is a required value. Please enter the state/province.",“州/省”必填，请输入州/省。
"""Street Address"" is a required value. Please enter the street address.",“街道地址”必填，请输入街道地址。
"""Telephone"" is a required value. Please enter the telephone.",“电话”必填，请输入电话号码。
"""Zip/Postal Code"" is a required value. Please enter the zip/postal code.",“邮政编码”必填，请输入邮政编码。
"%s offers excellent, comprehensive customer service every step of the way. Before you order, make real time inquiries through use of our live chat. Once you've made a purchase, our customer service representatives are always on-hand to answer questions through our live chat. Shop with confidence and save with %s!","%s提供优秀的、全面的客户服务在漫漫长路的每一步。在你订单,使实时查询通过使用我们的在线聊天。一旦你进行购买,我们的客户服务代表总是范本来回答问题通过我们的在线聊天。店有信心并保存与%s !"
"<a onclick=""history.go(-1); return false;"" href=""#"">Go back</a> to the previous page.","<a onclick=""history.go(-1); return false;"" href=""#"">返回</a>到前一页"
A variety of expedited shipping methods mean there is a convenient delivery option for every budget.,各种各样的加快航运方法意味着有一个方便的交付选项为每个预算。
About Us,关于我们
Account Dashboard,帐户控制面板
Account Information,帐户信息
Add New Address,添加新地址
Add to Cart,添加到购物车
Add to Compare,加入比较
Add to Wishlist,加入收藏
Additional Address,额外的地址
Address Book,地址簿
All Products,所有产品
Apply Coupon,申请优惠券
Are you sure you want to delete this address?,你确定要删除这个地址吗？
Availability,可用性
Back,返回
Back to Main Product Info,产品主要信息备份
Back to My Orders,返回我的订单
Bad,坏
Bestsellers,畅销产品
Billing Address,帐单地址
Billing Information,账单信息
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.",在我们商店创建一个账户，您将能够更快的进行订单处理，存储多个送货地址，并查看和跟踪您的订单以及更多的功能。
Cancel,取消
Cancel Coupon,取消优惠券
Cart Subtotal,购物车合计
Categories,分类
Categories Sitemap,分类站点地图
Category,类别
Change Billing Address,更改帐单地址
Change Password,更改密码
Change Shipping Address,更改送货地址
Checkout,结帐
Checkout Result,结帐结果
City,城市
Class,类别
Clear All,全部清除
Clear Shopping Cart,清除购物车
"Click <a href=""%s"">here</a> to continue shopping.","点击<a href=""%s"">这里</a>继续购物。"
Color,颜色
Company,公司
Company Info,公司信息
Confirm New Password,确认新密码
Confirm Password,确认密码
Contact Information,联系信息
