"""City"" is a required value. Please enter the city.","""City"" is a required value. Please enter the city."
"""Country"" is a required value. Please enter the country.","""Country"" is a required value. Please enter the country."
"""Email Address"" is a required value. Please enter the email address.","""Email Address"" is a required value. Please enter the email address."
"""Email Address"" is not a valid email address.","""Email Address"" is not a valid email address."
"""First Name"" is a required value. Please enter the first name.","""First Name"" is a required value. Please enter the first name."
"""Last Name"" is a required value. Please enter the last name.","""Last Name"" is a required value. Please enter the last name."
"""Nickname"" is a required value. Please enter the nickname.","""Nickname"" is a required value. Please enter the nickname."
"""Payment Method"" is a required value.","""Payment Method"" is a required value."
"""Rating"" is a required value. Please select rating.","""Rating"" is a required value. Please select rating."
"""Review"" is a required value. Please enter review.","""Review"" is a required value. Please enter review."
"""Shipping Method"" is a required value.","""Shipping Method"" is a required value."
"""State/Province"" is a required value. Please enter the state/province.","""State/Province"" is a required value. Please enter the state/province."
"""Street Address"" is a required value. Please enter the street address.","""Street Address"" is a required value. Please enter the street address."
"""Telephone"" is a required value. Please enter the telephone.","""Telephone"" is a required value. Please enter the telephone."
"""Zip/Postal Code"" is a required value. Please enter the zip/postal code.","""Zip/Postal Code"" is a required value. Please enter the zip/postal code."
"%s offers excellent, comprehensive customer service every step of the way. Before you order, make real time inquiries through use of our live chat. Once you've made a purchase, our customer service representatives are always on-hand to answer questions through our live chat. Shop with confidence and save with %s!","%s offers excellent, comprehensive customer service every step of the way. Before you order, make real time inquiries through use of our live chat. Once you've made a purchase, our customer service representatives are always on-hand to answer questions through our live chat. Shop with confidence and save with %s!"
"<a onclick=""history.go(-1); return false;"" href=""#"">Go back</a> to the previous page.","<a onclick=""history.go(-1); return false;"" href=""#"">Go back</a> to the previous page."
A variety of expedited shipping methods mean there is a convenient delivery option for every budget.,A variety of expedited shipping methods mean there is a convenient delivery option for every budget.
About Us,About Us
Account Dashboard,Account Dashboard
Account Information,Account Information
Add New Address,Add New Address
Add to Cart,Add to Cart
Add to Compare,Add to Compare
Add to Wishlist,Add to Wishlist
Additional Address,Additional Address
Address Book,Address Book
All Products,All Products
Apply Coupon,Apply Coupon
Are you sure you want to delete this address?,Are you sure you want to delete this address?
Availability,Availability
