"""City"" is a required value. Please enter the city.",Venligst indtast din by
"""Country"" is a required value. Please enter the country.",Vælg venligst dit land.
"""Email Address"" is a required value. Please enter the email address.",Venligst indtast en email adresse
"""Email Address"" is not a valid email address.",Venligst check dit email format
"""First Name"" is a required value. Please enter the first name.",Venligst indtast dit fornavn
"""Last Name"" is a required value. Please enter the last name.",Venligst indtast dit efternavn
"""Nickname"" is a required value. Please enter the nickname.","Navn er påkrævet, Venligst indtast dit navn"
"""Payment Method"" is a required value.",Betalingsmetoder er påkrævet.
"""Rating"" is a required value. Please select rating.",Din rating er påkrævet.
"""Review"" is a required value. Please enter review.",Skriv venligst mindst 30 tegn.
"""Shipping Method"" is a required value.",Fragt Guide er påkrævet.
"""State/Province"" is a required value. Please enter the state/province.",Vælg venligst din stat/provins.
"""Street Address"" is a required value. Please enter the street address.",Venligst indtast en leveringsadresse
"""Telephone"" is a required value. Please enter the telephone.",Venligst indtast dit telefonnummer
"""Zip/Postal Code"" is a required value. Please enter the zip/postal code.",Venligst indtast et postnummer.
"%s offers excellent, comprehensive customer service every step of the way. Before you order, make real time inquiries through use of our live chat. Once you've made a purchase, our customer service representatives are always on-hand to answer questions through our live chat. Shop with confidence and save with %s!","%s tilbyder god, omfattende kundeservice hvert skridt på vejen. Fra du bestiller kan du indsende real-time forespørgsler gennem vores Live Chat. Når du har foretaget et køb er vores kundeservice medarbejdere altid tilgængelige til at svare på spørgsmål via vores hjemmeside, som har et billet system som er nemt at bruge. Køb trygt og spar hos %s!"
"<a onclick=""history.go(-1); return false;"" href=""#"">Go back</a> to the previous page.","<a onclick=""history.go(-1); return false;"" href=""#"">Gå tilbage</a> til den forrige side."
A variety of expedited shipping methods mean there is a convenient delivery option for every budget.,"En række fremskyndede shipping metoder betyder, at der er en bekvem mulighed levering for enhver pengepung."
About Us,Om os
Account Dashboard,Min Konto
Account Information,Konto info
Add New Address,Tilføj en ny adresse
Add to Cart,Tilføj til Indkøbskurv
Add to Compare,Føj til Sammenlign
Add to Wishlist,Føj til ønskesedlen
Additional Address,Yderligere Adresse
Address Book,Adresse Bog
All Products,Alle Produkter
Apply Coupon,Ansøg Kuponkode
Are you sure you want to delete this address?,Er du sikker på at du vil slette denne adresse?
Availability,Tilgængelighed
Back,tilbage
Back to Main Product Info,Tilbage til produktinfo
Back to My Orders,Tilbage til Mine ordrer
Bad,Dårlig
Bestsellers,Bestsellere
Billing Address,Faktureringsadresse
Billing Information,Faktureringsinfo
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ved at oprette en konto i vores shop, vil du være i stand til at bevæge sig gennem købsprocessen hurtigere, gemme flere leveringsadresser, se og spore dine ordrer på din konto og meget mere."
Cancel,Annuller
Cancel Coupon,Annuller Kuponkode
Cart Subtotal,Indkøbskurv Subtotal
Categories,Kategorier
Categories Sitemap,Kategorier sitemap
Category,Kategorie
Change Billing Address,Redigere Faktureringsadresse
Change Password,Rediger kodeord
Change Shipping Address,Redigere Leveringsadresse
Checkout,Til kassen
Checkout Result,Til kassen Resultat
City,By
Class,Klassificere
Clear All,Slet alle
Clear Shopping Cart,Ryd Indkøbskurv
"Click <a href=""%s"">here</a> to continue shopping.","Klik <a href=""%s"">her</a> til Fortsæt Indkøb"
Color,Farve
Company,Firma
Company Info,Firma Info
Confirm New Password,Indtast kodeord igen
Confirm Password,Bekræft Kodeord
